userId,animeId,ratings,timestamp
165987,1,8.0,"Nov 18, 2008 T 09:38 AM"
279637,1,7.0,"Mar 02, 2015 T 04:49 AM"
303048,1,7.0,"Dec 23, 2021 T 12:19 PM"
269444,1,8.0,"Sep 14, 2007 T 07:04 AM"
12038,1,8.0,"Aug 11, 2003 T 01:51 AM"
207311,1,10.0,"May 08, 2008 T 02:46 AM"
260479,1,10.0,"Aug 11, 2005 T 06:27 PM"
293073,1,8.0,"Jan 27, 2009 T 05:51 AM"
278915,1,10.0,"Jan 08, 2006 T 01:57 PM"
15213,1,10.0,"Jan 24, 2019 T 12:58 AM"
203299,5,10.0,"May 17, 2019 T 11:49 AM"
315104,5,8.0,"Apr 24, 2005 T 01:21 PM"
214579,5,9.0,"Apr 13, 2021 T 06:38 AM"
196335,5,9.0,"Apr 08, 2005 T 09:45 PM"
311888,5,6.0,"Oct 12, 2010 T 05:47 AM"
104805,5,8.0,"Feb 28, 2009 T 10:29 PM"
281851,5,10.0,"Oct 26, 2007 T 04:44 AM"
17075,5,8.0,"Aug 31, 2011 T 05:27 AM"
225964,5,9.0,"Jan 05, 2021 T 01:14 PM"
9522,5,10.0,"Jul 11, 2006 T 08:42 AM"
198535,6,8.0,"Mar 28, 2019 T 03:51 AM"
99605,6,6.0,"Aug 09, 2014 T 12:57 AM"
115025,6,10.0,"Nov 05, 2003 T 07:37 AM"
182379,6,7.0,"Aug 15, 2018 T 11:25 PM"
256816,6,9.0,"Apr 03, 2012 T 10:32 PM"
257395,6,7.0,"Jun 11, 2012 T 01:02 AM"
152493,6,9.0,"Feb 25, 2017 T 06:44 AM"
218133,6,8.0,"Sep 06, 2011 T 10:45 PM"
205564,6,7.0,"Sep 14, 2020 T 03:05 AM"
305524,6,7.0,"Nov 28, 2005 T 02:20 PM"
23709,7,5.0,"Apr 17, 2011 T 10:30 AM"
64559,7,8.0,"Apr 02, 2022 T 01:15 AM"
163623,7,5.0,"Jul 31, 2019 T 09:37 PM"
3467,7,7.0,"May 24, 2004 T 09:59 PM"
146245,7,10.0,"Jun 24, 2007 T 06:55 AM"
28160,7,8.0,"Mar 15, 2010 T 06:17 AM"
5693,7,10.0,"Feb 20, 2009 T 09:45 AM"
2717,7,9.0,"May 29, 2008 T 07:37 AM"
23945,7,8.0,"Nov 20, 2018 T 12:42 PM"
149507,7,10.0,"Sep 26, 2013 T 04:10 AM"
150985,8,7.0,"Mar 01, 2004 T 07:48 PM"
17881,8,8.0,"Jan 03, 2010 T 09:45 AM"
255242,8,7.0,"Dec 14, 2008 T 03:16 PM"
22059,8,6.0,"Apr 22, 2006 T 04:14 PM"
52549,15,8.0,"Jun 14, 2005 T 10:08 PM"
10554,15,10.0,"Sep 23, 2019 T 02:32 AM"
54135,15,10.0,"Feb 23, 2020 T 02:48 PM"
243072,15,10.0,"Feb 04, 2022 T 08:39 AM"
100949,15,8.0,"Mar 18, 2006 T 04:21 PM"
2650,15,10.0,"Dec 14, 2004 T 08:46 PM"
15212,15,7.0,"Jul 12, 2022 T 10:31 AM"
243072,15,10.0,"Jun 04, 2018 T 05:48 PM"
12530,15,8.0,"Oct 19, 2020 T 10:14 AM"
2650,15,10.0,"Jan 11, 2015 T 01:09 PM"
2522,16,10.0,"Mar 13, 2004 T 04:30 AM"
229130,16,9.0,"Oct 07, 2012 T 03:48 AM"
213430,16,8.0,"Nov 16, 2004 T 07:48 AM"
100695,16,10.0,"Oct 06, 2015 T 07:34 PM"
232429,16,7.0,"Apr 06, 2010 T 03:17 PM"
5685,16,1.0,"Dec 06, 2020 T 01:23 AM"
119469,16,5.0,"Apr 12, 2007 T 09:13 PM"
14627,16,10.0,"Jul 13, 2015 T 03:25 AM"
29528,16,10.0,"Jan 16, 2014 T 12:42 AM"
223375,16,10.0,"Mar 26, 2004 T 03:15 AM"
52695,17,9.0,"Apr 17, 2011 T 05:19 PM"
102253,17,9.0,"Feb 07, 2016 T 04:34 AM"
30596,17,8.0,"Jun 27, 2014 T 05:17 PM"
2020,17,7.0,"Mar 05, 2012 T 11:45 PM"
215655,17,8.0,"Jan 28, 2005 T 09:54 AM"
86331,17,9.0,"Mar 25, 2016 T 01:42 AM"
16934,17,10.0,"Jan 28, 2020 T 06:24 PM"
121649,17,9.0,"Feb 24, 2004 T 08:34 AM"
43883,17,8.0,"Mar 09, 2016 T 07:26 AM"
131193,17,10.0,"Mar 23, 2019 T 02:58 AM"
323246,18,5.0,"Nov 22, 2016 T 02:45 PM"
90957,18,9.0,"Mar 27, 2020 T 08:19 PM"
244658,18,6.0,"Jan 05, 2012 T 09:26 PM"
65569,18,6.0,"Dec 02, 2021 T 11:52 AM"
8627,18,9.0,"Oct 04, 2021 T 06:19 PM"
65569,18,6.0,"Nov 13, 2016 T 04:23 PM"
1474,18,8.0,"Mar 15, 2009 T 06:10 PM"
8627,18,9.0,"Jun 06, 2004 T 12:26 AM"
323246,18,5.0,"Sep 06, 2005 T 11:35 AM"
1474,18,8.0,"May 26, 2012 T 04:08 PM"
15128,19,10.0,"May 29, 2015 T 03:55 PM"
286817,19,10.0,"Nov 11, 2005 T 03:43 PM"
